ebay_id,ebay_name,ebay_path
46104,Other Transmission & Drivetrain,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Transmission & Drivetrain|Other Transmission & Drivetrain
50445,Decals & Vinyls,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Exterior Parts & Accessories|Decals & Vinyls
50454,Engine Mounts,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Engines & Engine Parts|Engine Mounts
50455,Splash Guards & Mud Flaps,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Exterior Parts & Accessories|Guards & Protection|Splash Guards & Mud Flaps
50456,Car & Truck Covers,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Exterior Parts & Accessories|Car & Truck Covers
50457,Additional Guards & Protection,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Exterior Parts & Accessories|Guards & Protection|Additional Guards & Protection
50458,Seat Belt Shoulder Pads,"eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Interior Parts & Accessories|Seats, Parts & Accessories|Seat Belt Shoulder Pads"
50459,Switches & Controls,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Interior Parts & Accessories|Switches & Controls
52638,License Plates & Frames,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Exterior Parts & Accessories|License Plates & Frames
57357,Brake Pads,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Brakes & Brake Parts|Brake Pads
61117,Cabin Air Filters,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Air Conditioning & Heating|Cabin Air Filters
61259,Throttle Cables & Linkages,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Air & Fuel Delivery|Throttle Cables & Linkages
61265,Clutch Cables,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Transmission & Drivetrain|Clutch Parts & Kits|Clutch Cables
61304,Other Engine Parts,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Engines & Engine Parts|Other Engine Parts
61338,Tappets & Lifters,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Engines & Engine Parts|Valvetrain Components|Tappets & Lifters
61523,Parking Sensors,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Advanced Driver Assistance Systems|Parking Assistance|Parking Sensors
61739,Brake Shoes,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Brakes & Brake Parts|Brake Shoes
61864,A/C Condensers,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Air Conditioning & Heating|A/C Condensers
61941,"Wiper Linkages, Transmissions & Motors","eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Exterior Parts & Accessories|Wipers & Washers|Wiper Linkages, Transmissions & Motors"
61960,Tow Ropes & Chains,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Towing Parts & Accessories|Towing Accessories|Tow Ropes & Chains
63276,Oxygen Sensors,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Exhaust & Emission Systems|Oxygen Sensors
63688,Snow Plows & Parts,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Exterior Parts & Accessories|Snow Plows & Parts
63689,Window Tinting,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Exterior Parts & Accessories|Glass & Window Parts|Window Tinting
63690,"Cargo Nets, Pet Barriers & Storage Bins","eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Interior Parts & Accessories|Storage & Organizers|Cargo Nets, Pet Barriers & Storage Bins"
63691,Cup Holders,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Interior Parts & Accessories|Storage & Organizers|Cup Holders
63692,Torque Converters,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Transmission & Drivetrain|Torque Converters
79067,Ski & Snowboard Racks,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Racks & Cargo Carriers|Ski & Snowboard Racks
121984,"Cargo Boxes, Bags & Baskets","eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Racks & Cargo Carriers|Cargo Boxes, Bags & Baskets"
121985,Warning Lights,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Lighting & Lamps|Accessory Lighting|Warning Lights
122154,"Wheel Spacers, Adapters & Hub Centric Rings","eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Wheels, Tires & Parts|Wheel Spacers, Adapters & Hub Centric Rings"
170141,"Wheel Bearings, Hubs & Seals","eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Steering & Suspension|Wheel Bearings, Hubs & Seals"
171115,Automatic Transmission,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Transmission & Drivetrain|Automatic Transmission
171117,Manual Transmission,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Transmission & Drivetrain|Manual Transmission
172517,Light Bulbs & LEDs,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Lighting & Lamps|Light Bulbs & LEDs
